Time (s),altitude (m)
0,0.000000000000000
0.001055643,0.000000000000000
0.002111287,0.000000000000000
0.004222573,0.000000000000000
0.00633386,0.000000000000000
0.008445147,0.000000000000000
0.008950426,0.000000000000000
0.009455704,0.000000000000000
0.010466262,0.000000389729053
0.01147682,0.000003479199108
0.012487378,0.000014249836454
0.022592955,0.002396897769700
0.032698533,0.012285942126937
0.04280411,0.035813925197772
0.043044463,0.036583478176908
0.043284816,0.037364385410342
0.043525169,0.038156729668344
0.043765522,0.038960593727438
0.044005875,0.039776058155212
0.044486581,0.041430172119476
0.044967286,0.043130625041726
0.045447992,0.044877354398181
0.05025505,0.064870921656393
0.055062108,0.089423268076075
0.059869166,0.118471720077082
0.065137934,0.155412694826737
0.069232209,0.187787670538796
0.073326484,0.223384365240576
0.077420759,0.262225999267343
0.079058469,0.278675190182639
0.080696179,0.295646048829667
0.082333889,0.313136676966564
0.085609309,0.349667214789179
0.088884729,0.388250082642910
0.092160149,0.428867429706426
0.09270585,0.435859109127134
0.093251552,0.442906598853141
0.093797253,0.450009816186820
0.094342954,0.457168762854848
0.094888656,0.464383490503677
0.095980058,0.479036482978245
0.097071461,0.493913426009043
0.107985488,0.653983867389228
0.108968387,0.669509879845689
0.109951287,0.685221023503571
0.110934187,0.701117102845157
0.112899987,0.733462391621626
0.114865787,0.766542928443413
0.116831586,0.800355700074760
0.124808102,0.944991090544929
0.129785857,1.041266026117230
0.134763613,1.142145271422580
0.139741369,1.247637091868570
0.14969688,1.472491962223330
0.159652391,1.715861349126950
0.169607902,1.977740461456620
0.190530959,2.588338918416980
0.203069628,2.993342057269840
0.215608298,3.427697584834600
0.225551481,3.793091860239290
0.229287135,3.936485268314060
0.233022789,4.082510380398500
0.240494096,4.379831242863690
0.247965404,4.687707846865900
0.255436711,5.006169134241860
0.303910146,7.331366403917030
0.352383581,10.111367681051700
0.357719116,10.445500023346000
0.363054652,10.785261259063200
0.368390187,11.130671373635900
0.379061257,11.838511618872900
0.389732328,12.569191016013600
0.400403398,13.322866827880900
0.411074469,14.099699977026400
0.417301722,14.563798694762000
0.423528976,15.035870536605900
0.429756229,15.515946767549500
0.442210737,16.500216655358600
0.454665244,17.516741609412500
0.467119751,18.565640558984700
0.481091465,19.780996441630700
0.49506318,21.037412025973900
0.509034894,22.335055221597100
0.521409298,23.518905099863200
0.533783701,24.735343145614600
0.546158104,25.984485937874200
0.566303866,28.088400363032600
0.586449628,30.279764324848500
0.606595389,32.558981097275600
0.626741151,34.926425726241000
0.646886913,37.382472134854800
0.667032674,39.927493182122500
0.698513358,44.083399057781400
0.729994041,48.458841094364100
0.761474725,53.054931654864500
0.792955408,57.872712979449900
0.816525588,61.625651096874500
0.840095767,65.503919812535800
0.863665947,69.507975087473400
0.887236127,73.638277708656300
0.897251131,75.431584043240300
0.907266134,77.247803748455800
0.917281138,79.086973336811400
0.932945459,82.009706147393600
0.94860978,84.988815230864700
0.964274102,88.024444186011700
0.971129669,89.370815826181700
0.977985236,90.728053357642800
0.984840803,92.096169120269600
0.993991393,93.939257344027800
1.003141983,95.801770838602200
1.012292573,97.683730008573900
1.030426561,101.470784932808000
1.04856055,105.334440033878000
1.066694539,109.274846724737000
1.084828528,113.292161629915000
1.096221095,115.855425206327000
1.107613663,118.449145478479000
1.11900623,121.073361852066000
1.148836148,128.089252262804000
1.178666065,135.315201306667000
1.208495983,142.751886279732000
1.2383259,150.399975477524000
1.250150121,153.490239633145000
1.261974342,156.613859644892000
1.273798562,159.770875542192000
1.278184535,160.950410327728000
