Time (s),Velocity m/s
2.784673589,584.788198
2.804982214,587.3770444
2.825290838,589.8562948
2.851769932,592.9238077
2.878249025,595.8039924
2.899655825,597.995221
2.921062626,600.0667319
2.924926456,600.4302739
2.928790286,600.792745
2.932654116,601.1543648
2.940381777,601.8753425
2.948109437,602.593304
2.955837098,603.3082816
2.98276746,605.7767097
3.000920958,607.4202672
3.019074455,609.0474061
3.028128987,609.8485985
3.03718352,610.6372632
3.046238052,611.4119955
3.057653452,612.3681221
3.069068853,613.301089
3.080484254,614.2107978
3.101048771,615.7908467
3.121613289,617.2951532
3.142177807,618.7243397
3.162742324,620.0823205
3.183306842,621.3714365
3.203871359,622.5924577
3.224435877,623.7454218
3.250780199,625.1227606
3.277124521,626.3879931
3.303468844,627.5371644
3.30686601,627.676053
3.310263176,627.8120807
3.313660342,627.9451753
3.320454675,628.2024686
3.327249007,628.4479008
3.33404334,628.6814608
3.361867383,629.5140079
3.389691427,630.1497086
3.391706316,630.1884138
3.393721206,630.2265058
3.395736095,630.2640193
3.399765873,630.3373581
3.403795651,630.4084459
3.40782543,630.477288
3.426566323,630.7679872
3.441901439,630.9700676
3.44357276,630.9903559
3.445244082,631.0105408
3.446915403,631.0306455
3.450258046,631.0706452
3.453600688,631.1103656
3.456943331,631.14981
3.476209464,631.3718187
3.495475597,631.5847182
3.51474173,631.7885177
3.543976721,632.0803979
3.548438525,632.1225545
3.552900328,632.1633926
3.557362131,632.2028185
3.566285738,632.2773093
3.575209344,632.3459863
3.584132951,632.4088373
3.60840702,632.5503452
3.61225433,632.5676651
3.616101641,632.581822
3.619948951,632.5925053
3.627643572,632.6030393
3.635338193,632.5991327
3.643032814,632.5807447
3.664414108,632.4535722
3.685795402,632.2146069
3.68748308,632.190985
3.689170758,632.1667684
3.690858437,632.1422226
3.694233794,632.0920158
3.69760915,632.0410232
3.727505166,631.5585898
3.757401181,631.0146416
3.782102346,630.5190348
3.80680351,629.9828247
3.824873265,629.5625991
3.838352768,629.2296937
3.851832271,628.8783702
3.86109273,628.622478
3.870353188,628.3518545
3.879613647,628.0657811
3.894246703,627.581671
3.905343407,627.1918322
3.916440111,626.7855349
3.927536816,626.3636831
3.94380635,625.7177332
3.960075884,625.0392777
3.976345418,624.3284365
3.980241136,624.1534244
3.984136854,623.9770608
3.988032572,623.7997994
3.995824008,623.4426939
3.995963104,623.4363
3.9961022,623.4299053
3.996241296,623.4235098
3.996380392,623.4171133
3.996519488,623.410716
3.99679768,623.3979198
3.997075872,623.3825202
3.997530375,623.3552353
3.997984877,623.3279524
3.99843938,623.3006716
4.002621905,623.0497197
4.00680443,622.7989436
4.010986955,622.5483432
4.042411377,620.6711005
4.073835798,618.8036753
4.10526022,616.9459908
4.122408231,615.9363523
4.139556241,614.9295802
4.156704252,613.9256607
4.188673279,612.0616239
4.220642306,610.2073743
4.252611332,608.3628154
4.259890925,607.9441419
4.267170518,607.5259651
4.27445011,607.1082838
4.293627614,606.0102998
4.312805118,604.9157323
4.331982622,603.824564
4.338467468,603.4563531
4.344952315,603.0885279
4.351437162,602.7210878
4.368401784,601.7616658
4.385366405,600.8048646
4.402331027,599.850672
4.446069298,597.4025278
4.48980757,594.9714607
4.533545841,592.5573052
4.577284113,590.1599008
4.60027478,588.9063812
4.623265448,587.6574163
4.646256115,586.4129805
4.679570057,584.6177544
4.712883998,582.8318748
4.74619794,581.0552192
4.779511881,579.2876908
4.793339682,578.5566968
4.807167483,577.8272574
4.820995283,577.0993668
4.845044594,575.8370951
4.869093904,574.5794721
4.893143215,573.3264718
4.927640742,571.5371281
4.962138269,569.7571766
4.996635796,567.9865439
5.03173042,566.1947487
5.066825045,564.4124378
5.10191967,562.6395282
5.133364145,561.0589347
5.164808619,559.4857633
5.196253094,557.9199561
5.231624398,556.1673116
5.266995702,554.4237636
5.302367006,552.689224
5.320225776,551.8168685
5.338084547,550.9467839
5.355943317,550.0789632
5.367999067,549.4944084
5.380054816,548.9108787
5.392110566,548.3283708
5.443988681,545.833334
5.495866797,543.3569519
5.547744912,540.8989815
5.599623028,538.4591926
5.619231066,537.5417278
5.638839103,536.6268145
5.658447141,535.7144434
5.671128652,535.1257164
5.683810164,534.5380461
5.696491676,533.951429
5.707588175,533.4389925
5.718684674,532.9273585
5.729781173,532.4165255
5.738667392,532.0080204
5.747553611,531.6000272
5.756439831,531.1925451
5.779919639,530.118308
5.803399447,529.0475848
5.826879255,527.9803487
5.836492433,527.5444007
5.888376492,525.2014669
5.931386325,523.2719557
5.974396157,521.3538338
6.01740599,519.4469972
6.085229657,516.4627539
6.13408182,514.3302502
6.182933983,512.2117835
6.231786147,510.1071998
6.28063831,508.0163568
6.343231322,505.3572858
6.405824334,502.7202163
6.468417346,500.1047729
6.531010358,497.5106532
6.540511306,497.1187391
6.550012253,496.7273094
6.559513201,496.3363635
6.578515096,495.5559201
6.597516991,494.7774029
6.616518886,494.0008036
6.635520781,493.2261134
6.686852681,491.1428433
6.729556609,489.4201866
6.772260538,487.7069229
6.814964467,486.002958
6.857668395,484.3082063
6.900372324,482.622589
6.943076253,480.9460349
6.985780181,479.2784771
7.022835821,477.8387099
7.059891461,476.4055845
7.088864658,475.2896324
7.117837856,474.1776741
7.146811053,473.0696923
7.189766952,471.4342754
7.22178172,470.2210374
7.253796487,469.0125806
7.285811254,467.8088765
7.317826022,466.6098947
7.36216547,464.957077
7.395890295,463.7058946
7.42961512,462.4598121
7.463339944,461.218786
7.497064769,459.9827754
7.536176822,458.555561
7.575288875,457.1350007
7.614400927,455.7210568
7.65351298,454.3136963
7.692625033,452.9128802
7.736426729,451.3518148
7.771892883,450.0937352
7.807359038,448.8408828
7.842825192,447.5932078
7.878291346,446.3506694
7.913757501,445.1132364
7.96140337,443.4588363
7.998195662,442.1875347
8.034987953,440.9216301
8.071780244,439.6610879
8.108572536,438.4058688
8.159080022,436.6913331
8.209587509,434.9866381
8.249609288,433.6427665
8.289631067,432.3049524
8.329652847,430.9731476
8.369674626,429.6473121
8.423902887,427.8602977
8.465402001,426.5000487
8.506901115,425.1460775
8.548400229,423.7983349
8.589899342,422.4567502
8.631398456,421.1212571
8.67289757,419.7918047
8.714396684,418.4683497
8.766799098,416.8056807
8.80895569,415.4749418
8.851112282,414.1502543
8.893268875,412.8315732
8.935425467,411.5188513
8.986742102,409.9288596
9.038058737,408.3475324
9.089375372,406.774778
9.140692007,405.2105165
9.197631649,403.4846973
9.243827565,402.0920629
9.290023481,400.7061354
9.336219397,399.3268624
9.382415313,397.954193
9.439662399,396.262198
9.483588424,394.9706281
9.527514449,393.6848163
9.571440473,392.4047131
9.615366498,391.130279
9.670240679,389.5461069
9.72511486,387.9706442
9.779989041,386.4038129
9.834863221,384.8455314
9.889737402,383.2957139
9.944611583,381.7542691
9.953895005,381.4943143
9.963178427,381.2345962
9.972461848,380.9751144
9.991028692,380.456858
10.00959554,379.9395418
10.02816238,379.423163
10.09949154,377.4480402
10.15317959,375.9704906
10.20686764,374.5007713
10.26055569,373.0388587
10.31424374,371.5846874
10.36793179,370.1381814
10.42161984,368.6992402
10.47530789,367.2677679
10.52899594,365.8436788
10.58268399,364.426894
10.63637204,363.0173466
10.69006009,361.6149695
10.74374814,360.2197043
10.79743619,358.831494
10.85112424,357.4502783
10.9048123,356.0759968
10.95850035,354.7085788
11.0121884,353.3479544
11.06587645,351.9940532
11.1195645,350.6468058
11.17325255,349.3061513
11.2269406,347.9720307
11.28062865,346.6443922
11.3343167,345.3231865
11.38800475,344.0083587
