Mach,CD Power-On
3.2,0.271672135
3.21,0.271163954
3.22,0.270658183
3.23,0.270154787
3.24,0.269653763
3.25,0.2691551
3.26,0.268658794
3.27,0.268164831
3.28,0.267673179
3.29,0.267183855
3.3,0.266696832
3.31,0.266212093
3.32,0.265729633
3.33,0.265249432
3.34,0.26477149
3.35,0.264295805
3.36,0.263822332
3.37,0.263351095
3.38,0.262882059
3.39,0.262415214
3.4,0.261950557
3.41,0.261488081
3.42,0.261027767
3.43,0.260569601
3.44,0.260113579
3.45,0.259659687
3.46,0.259207919
3.47,0.258758249
3.48,0.258310676
3.49,0.257865192
3.5,0.257421792
3.51,0.256980447
3.52,0.256541166
3.53,0.256103915
3.54,0.255668712
3.55,0.255235521
3.56,0.254804345
3.57,0.254375176
3.58,0.253947992
3.59,0.253522792
3.6,0.253099551
3.61,0.252678285
3.62,0.252258964
3.63,0.251841584
3.64,0.251426129
3.65,0.25101259
3.66,0.250600973
3.67,0.250191254
3.68,0.249783421
3.69,0.249377471
3.7,0.248973377
3.71,0.248571152
3.72,0.248170783
3.73,0.247772248
3.74,0.247375549
3.75,0.246980662
3.76,0.246587601
3.77,0.246196324
3.78,0.245806843
3.79,0.245419152
3.8,0.245033235
3.81,0.244649064
3.82,0.244266673
3.83,0.243886008
3.84,0.243507079
3.85,0.243129873
3.86,0.242726341
3.87,0.242324515
3.88,0.241924374
3.89,0.241525938
3.9,0.241129184
3.91,0.240734084
3.92,0.240340645
3.93,0.239948866
3.94,0.239558731
3.95,0.239170238
3.96,0.238783358
3.97,0.238398094
3.98,0.238014442
3.99,0.237632396
4,0.237251925
4.01,0.236903299
4.02,0.236556229
4.03,0.236210678
4.04,0.235866663
4.05,0.235524154
4.06,0.235183167
4.07,0.234843663
4.08,0.234505663
4.09,0.234169143
4.1,0.233834109
4.11,0.233500528
4.12,0.233168411
4.13,0.232837754
4.14,0.232508537
4.15,0.232180759
4.16,0.231854409
4.17,0.231529485
4.18,0.231205969
4.19,0.230883864
4.2,0.230563155
4.21,0.230243836
4.22,0.229925901
4.23,0.229609334
4.24,0.229294149
4.25,0.22898032
4.26,0.228667841
4.27,0.228356704
4.28,0.228046906
4.29,0.227738449
4.3,0.227431298
4.31,0.227125475
4.32,0.226820958
4.33,0.226517737
4.34,0.22621581
4.35,0.225915167
4.36,0.225615803
4.37,0.225317715
4.38,0.225020874
4.39,0.224732076
4.4,0.224460041
4.41,0.224188809
4.42,0.223918356
4.43,0.22364869
4.44,0.223379808
4.45,0.223111699
4.46,0.22284437
4.47,0.222577808
4.48,0.22231202
4.49,0.222046986
4.5,0.221782719
4.51,0.221519198
4.52,0.221256432
4.53,0.220994417
4.54,0.220733151
4.55,0.220472611
4.56,0.220212823
4.57,0.219953755
4.58,0.219695425
4.59,0.2194378
4.6,0.219180917
4.61,0.218924733
4.62,0.218669274
4.63,0.218414518
4.64,0.218160464
4.65,0.217907106
4.66,0.217654452
4.67,0.217402491
4.68,0.217151207
4.69,0.21690061
4.7,0.216650705
4.71,0.216401448
4.72,0.216152899
4.73,0.215904993
4.74,0.215657758
4.75,0.21541118
4.76,0.215165265
4.77,0.214919992
4.78,0.214675357
4.79,0.214431387
4.8,0.214188048
4.81,0.213945338
4.82,0.213703263
4.83,0.213461811
4.84,0.213220987
4.85,0.212980779
4.86,0.212741184
4.87,0.212502198
4.88,0.212263829
4.89,0.212026051
4.9,0.211788874
4.91,0.211552284
4.92,0.211316284
4.93,0.211080876
4.94,0.210846044
4.95,0.210611797
4.96,0.210378117
4.97,0.210145004
4.98,0.209912445
4.99,0.209680464
5,0.209449031
5.01,0.209218151
5.02,0.20898782
5.03,0.208758025
5.04,0.208528775
5.05,0.208300062
5.06,0.208071876
5.07,0.207844223
5.08,0.207617089
5.09,0.20739046
5.1,0.207164363
5.11,0.206938766
5.12,0.206713674
5.13,0.206489094
5.14,0.206265003
5.15,0.206041396
5.16,0.205818301
5.17,0.205595664
5.18,0.205373521
5.19,0.20515186
5.2,0.204930665
5.21,0.204709936
5.22,0.204489667
5.23,0.204269864
5.24,0.204050505
5.25,0.203831605
5.26,0.203613152
5.27,0.203395133
5.28,0.203177562
5.29,0.202960437
5.3,0.202743714
5.31,0.202527429
5.32,0.202311561
5.33,0.202096122
5.34,0.201881092
5.35,0.201666457
5.36,0.201452241
5.37,0.201238422
5.38,0.201024998
5.39,0.200811973
5.4,0.200599325
5.41,0.200387059
5.42,0.200175172
5.43,0.19996367
5.44,0.199752531
5.45,0.19954176
5.46,0.199331353
5.47,0.199121297
5.48,0.198911609
5.49,0.198702264
5.5,0.198493259
5.51,0.198284601
5.52,0.198076276
5.53,0.19786828
5.54,0.19766062
5.55,0.19745329
5.56,0.19724627
5.57,0.197039574
5.58,0.196833179
5.59,0.1966271
5.6,0.196421327
5.61,0.196215842
5.62,0.196010664
5.63,0.195805768
5.64,0.195601162
5.65,0.19539684
5.66,0.1951928
5.67,0.194989028
5.68,0.19478553
5.69,0.194582304
5.7,0.194379333
5.71,0.194176617
5.72,0.19397415
5.73,0.193771937
5.74,0.193569969
5.75,0.193368247
5.76,0.193166762
5.77,0.192965496
5.78,0.192764479
5.79,0.192563675
5.8,0.192363091
5.81,0.192162725
5.82,0.191962571
5.83,0.191762625
5.84,0.191562875
5.85,0.191363325
5.86,0.191163986
5.87,0.19096483
5.88,0.190765864
5.89,0.190567075
5.9,0.190368459
5.91,0.190170033
5.92,0.189971772
5.93,0.189773675
5.94,0.189575735
5.95,0.18937796
5.96,0.189180346
5.97,0.18898288
5.98,0.188785546
5.99,0.188588373
6,0.188391327
6.01,0.188203966
6.02,0.188027778
6.03,0.18785195
6.04,0.18767649
6.05,0.187501407
6.06,0.187326681
6.07,0.18715232
6.08,0.186978325
6.09,0.186804694
6.1,0.186631427
6.11,0.186458514
6.12,0.186285962
6.13,0.186113772
6.14,0.185941932
6.15,0.185770442
6.16,0.185599322
6.17,0.18542855
6.18,0.185258126
6.19,0.185088069
6.2,0.184918348
6.21,0.184748973
6.22,0.184579962
6.23,0.184411285
6.24,0.184242962
6.25,0.184074971
6.26,0.183907332
6.27,0.183740044
6.28,0.183573076
6.29,0.183406468
6.3,0.183240189
6.31,0.183074247
6.32,0.182908654
6.33,0.182743396
6.34,0.182578475
6.35,0.182413869
6.36,0.182249618
6.37,0.18208569
6.38,0.181922085
6.39,0.181758822
6.4,0.181595892
6.41,0.181433272
6.42,0.181270992
6.43,0.181109041
6.44,0.180947399
6.45,0.180786095
6.46,0.180625109
6.47,0.180464439
6.48,0.180304104
6.49,0.180144075
6.5,0.179984379
6.51,0.179824988
6.52,0.17966592
6.53,0.179507164
6.54,0.179348729
6.55,0.179190606
6.56,0.179032782
6.57,0.178875288
6.58,0.178718093
6.59,0.178561215
6.6,0.178404645
6.61,0.178248392
6.62,0.178092434
6.63,0.177936782
6.64,0.177781434
6.65,0.1776264
6.66,0.177471649
6.67,0.17731721
6.68,0.177163084
6.69,0.177009248
6.7,0.176855713
6.71,0.176702478
6.72,0.176549541
6.73,0.176396893
6.74,0.176244553
6.75,0.1760925
6.76,0.175940732
6.77,0.175789271
6.78,0.175638095
6.79,0.175487212
6.8,0.175336614
6.81,0.175186318
6.82,0.175036305
6.83,0.174886573
6.84,0.174737132
6.85,0.174587981
6.86,0.1744391
6.87,0.174290508
6.88,0.174142205
6.89,0.173994179
6.9,0.17384644
6.91,0.173698977
6.92,0.17355179
6.93,0.173404888
6.94,0.173258261
6.95,0.173111907
6.96,0.172965828
6.97,0.172820031
6.98,0.172674505
