Mach,CD Power-Off
0.01,0.478749790726498
0.02,0.476154081726839
0.03,0.462132309458624
0.04,0.449560713002985
0.05,0.445863607879093
0.06,0.442796234751103
0.07,0.439732826748076
0.08,0.436810239674776
0.09,0.434071321454524
0.1,0.432529063774676
0.11,0.432566314763543
0.12,0.432607859827959
0.13,0.432662745980576
0.14,0.432726599606178
0.15,0.432799520630957
0.16,0.432881628980214
0.17,0.432973044578382
0.18,0.43307392734904
0.19,0.433184397214933
0.2,0.433304634097991
0.21,0.433434797919341
0.22,0.43357506859933
0.23,0.433725646057539
0.24,0.433886730212799
0.25,0.434058560983206
0.26,0.434404029931795
0.27,0.434760744447292
0.28,0.435128926210285
0.29,0.435508873371499
0.3,0.435900887610192
0.31,0.43630526795809
0.32,0.43672239344629
0.33,0.43715260486987
0.34,0.437596263023311
0.35,0.438053786053614
0.36,0.438525615636398
0.37,0.439012190799832
0.38,0.439514010571538
0.39,0.440031596625499
0.4,0.440565487105984
0.41,0.44111626368595
0.42,0.441684584508662
0.43,0.442271071246096
0.44,0.442876482040564
0.45,0.443501517680811
0.46,0.444147038955133
0.47,0.444813864886794
0.48,0.44550295449863
0.49,0.446215309459956
0.5,0.446951967910492
0.51,0.447714071518751
0.52,0.448502878423676
0.53,0.449319690293025
0.54,0.450165945265
0.55,0.451043165006644
0.56,0.45195302765546
0.57,0.452897334877812
0.58,0.453878044810546
0.59,0.454897279119383
0.6,0.455957355940546
0.61,0.45735518955291
0.62,0.458788573389041
0.63,0.460271100320502
0.64,0.461806051129272
0.65,0.46339710395017
0.66,0.465048279564657
0.67,0.466764017871648
0.68,0.468549258769817
0.69,0.470409483039906
0.7,0.472350868815542
0.71,0.472359416877026
0.72,0.472243888004451
0.73,0.472128420330818
0.74,0.472013014635827
0.75,0.47189769081669
0.76,0.471782408770443
0.77,0.471667208393946
0.78,0.471552069583898
0.79,0.471436953119128
0.8,0.471321937131427
0.81,0.476138822399327
0.82,0.480955769701222
0.83,0.485772797168479
0.84,0.490589865579229
0.85,0.495407014829184
0.86,0.500224205696239
0.87,0.505041476311285
0.88,0.509858807451999
0.89,0.514676179895963
0.9,0.51949361177377
0.91,0.523026168333832
0.92,0.533623838014017
0.93,0.545280010469774
0.94,0.552695850861012
0.95,0.56011169125225
0.96,0.567527531643488
