Mach,CD Power-Off
0.01,0.682910893
0.02,0.603060533
0.03,0.56307241
0.04,0.537256754
0.05,0.518552887
0.06,0.504066909
0.07,0.492347686
0.08,0.48257085
0.09,0.476830077
0.1,0.473934906
0.11,0.473843968
0.12,0.473758435
0.13,0.473678394
0.14,0.473603857
0.15,0.473534911
0.16,0.473471625
0.17,0.473414049
0.18,0.473362302
0.19,0.473316432
0.2,0.473276529
0.21,0.473242712
0.22,0.47321509
0.23,0.473193713
0.24,0.473178788
0.25,0.473170376
0.26,0.473456787
0.27,0.473749779
0.28,0.474049512
0.29,0.474356124
0.3,0.474669854
0.31,0.47499083
0.32,0.475319265
0.33,0.475655393
0.34,0.475999387
0.35,0.476351495
0.36,0.476711995
0.37,0.477081137
0.38,0.477459181
0.39,0.477846446
0.4,0.478243279
0.41,0.478649962
0.42,0.479066921
0.43,0.479494478
0.44,0.479933091
0.45,0.48038319
0.46,0.480845233
0.47,0.481319729
0.48,0.481807257
0.49,0.48230829
0.5,0.482823542
0.51,0.483353665
0.52,0.483899327
0.53,0.484461319
0.54,0.485040488
0.55,0.485637715
0.56,0.486253959
0.57,0.486890268
0.58,0.487547792
0.59,0.48822776
0.6,0.488931522
0.61,0.490174983
0.62,0.491426485
0.63,0.492706215
0.64,0.494016103
0.65,0.495358306
0.66,0.496735136
0.67,0.498149179
0.68,0.499603279
0.69,0.50110067
0.7,0.502644933
0.71,0.503065599
0.72,0.503413876
0.73,0.503761854
0.74,0.5041096
0.75,0.504457055
0.76,0.504804288
0.77,0.505151209
0.78,0.505497876
0.79,0.50584427
0.8,0.506190466
0.81,0.509402499
0.82,0.512614284
0.83,0.515825823
0.84,0.519037055
0.85,0.522248077
0.86,0.525458811
0.87,0.528669314
0.88,0.531879557
0.89,0.535089509
0.9,0.538299249
0.91,0.541959684
0.92,0.552940988
0.93,0.564139019
0.94,0.570063122
0.95,0.575987226
0.96,0.58191133
0.97,0.587835434
0.98,0.593759538
0.99,0.599683641
1,0.605607745
1.01,0.611531849
1.02,0.617455953
1.03,0.623380056
1.04,0.62930416
1.05,0.635228264
1.06,0.632141337
1.07,0.629088302
1.08,0.626068603
1.09,0.623081661
1.1,0.620126878
1.11,0.617203745
1.12,0.61431174
1.13,0.611458546
1.14,0.608647634
1.15,0.60587358
1.16,0.602861213
1.17,0.599873914
1.18,0.596920843
1.19,0.594001291
1.2,0.591114633
1.21,0.588260274
1.22,0.585437687
1.23,0.582646434
1.24,0.579886009
1.25,0.577156024
1.26,0.574456045
1.27,0.57178571
1.28,0.569144643
1.29,0.566532506
1.3,0.563948938
1.31,0.56139362
1.32,0.558866252
1.33,0.556366519
1.34,0.553894146
1.35,0.551448842
1.36,0.549030331
1.37,0.546638364
1.38,0.544272681
1.39,0.541933031
1.4,0.539619179
1.41,0.537330892
1.42,0.535067943
1.43,0.532830102
1.44,0.530617183
1.45,0.528428979
1.46,0.526265256
1.47,0.524125857
1.48,0.522010569
1.49,0.51991923
1.5,0.517851635
1.51,0.515807626
1.52,0.513787031
1.53,0.511789696
1.54,0.509815425
1.55,0.507864109
1.56,0.505935554
1.57,0.504029632
1.58,0.502146199
1.59,0.500285108
1.6,0.498446218
1.61,0.496629418
1.62,0.494834552
1.63,0.493061494
1.64,0.491310139
1.65,0.489580357
1.66,0.487872024
1.67,0.486185023
1.68,0.48451927
1.69,0.482874619
1.7,0.481250964
1.71,0.479648237
1.72,0.478066306
1.73,0.476505079
1.74,0.474964476
1.75,0.473444363
1.76,0.471944688
1.77,0.47046535
1.78,0.469006238
1.79,0.467567314
1.8,0.466148449
1.81,0.46482511
1.82,0.463497838
1.83,0.462181977
1.84,0.460877443
1.85,0.459584162
1.86,0.458302064
1.87,0.457031076
1.88,0.455771118
1.89,0.45452215
1.9,0.45328409
1.91,0.452056878
1.92,0.450840439
1.93,0.44963473
